
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. demo_top, 109, 87, 67, 0, 0, 1, 0, 3, 6
.	. BLINK_LED, 33, 29, 32, 0, 0, 0, 0, 0, 0
.	. Dev_Restart_after_ISP_blk, 67, 56, 35, 0, 0, 1, 0, 0, 0
.	.	. Dev_Restart_after_ISP_blk_TAMPER2_0_TAMPER2, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. Dev_Restart_after_ISP_blk_TPSRAM_0_TPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	. Ram_intferface, 67, 56, 35, 0, 0, 0, 0, 0, 0
.	. demo, 9, 2, 0, 0, 0, 0, 0, 3, 2
.	.	. CoreResetP_Z1, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. demo_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. demo_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. demo_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 2
