pin,slack
demo_0/demo_MSS_0/MMUART_1_RXD_PAD/U_IOPAD:PAD,
demo_0/demo_MSS_0/MMUART_1_RXD_PAD/U_IOPAD:Y,
BLINK_LED_0/counter_4[11]:A,4710
BLINK_LED_0/counter_4[11]:B,6021
BLINK_LED_0/counter_4[11]:Y,4710
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:IPB,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:IPB,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:IPB,
BLINK_LED_0/counter12_14:A,6173
BLINK_LED_0/counter12_14:B,6096
BLINK_LED_0/counter12_14:C,6056
BLINK_LED_0/counter12_14:D,5955
BLINK_LED_0/counter12_14:Y,5955
demo_0/CORERESETP_0/RESET_N_M2F_q1:ADn,
demo_0/CORERESETP_0/RESET_N_M2F_q1:ALn,
demo_0/CORERESETP_0/RESET_N_M2F_q1:CLK,8868
demo_0/CORERESETP_0/RESET_N_M2F_q1:D,
demo_0/CORERESETP_0/RESET_N_M2F_q1:EN,
demo_0/CORERESETP_0/RESET_N_M2F_q1:LAT,
demo_0/CORERESETP_0/RESET_N_M2F_q1:Q,8868
demo_0/CORERESETP_0/RESET_N_M2F_q1:SD,
demo_0/CORERESETP_0/RESET_N_M2F_q1:SLn,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:IPA,
BLINK_LED_0/counter11_24:A,5911
BLINK_LED_0/counter11_24:B,5834
BLINK_LED_0/counter11_24:C,5771
BLINK_LED_0/counter11_24:D,5693
BLINK_LED_0/counter11_24:Y,5693
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_25:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_25:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_25:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_25:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:IPB,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_242:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_242:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_242:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_242:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_242:IPB,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPB,
demo_0/CCC_0/GL0_INST/U0:An,
demo_0/CCC_0/GL0_INST/U0:ENn,
demo_0/CCC_0/GL0_INST/U0:YWn,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:A,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:B,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:C,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:IPA,
demo_0/demo_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_108:A,
